sub_id,turf_id,coop,state,species,common_name_spanish,scientific_name,common_name_english,aphia_id
26_1,MX_C_026,S.C.P.P. TODOS SANTOS,BCS,LANGOSTA AZUL (Panulirus inflatus),LANGOSTA AZUL,Panulirus inflatus,Blue Spiny Lobster,382897
26_1,MX_C_026,S.C.P.P. TODOS SANTOS,BCS,OSTION DE ROCA (Crassostrea iridescens),OSTION DE ROCA,Striostrea prismatica,Rock Oyster,506739
57_1,MX_C_057,S.C.P.P. PUNTA DE MACABIL,CH,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
46_1,MX_C_046,S.C.P.P. BARRITA DE  PAJON,CH,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
45_1,MX_C_045,S.C.P.P. UNION Y TRABAJO,CH,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
44_1,MX_C_044,S.C.P.P. PESCADORES DE AGUA TENDIDA,CH,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
43_1,MX_C_043,S.C.P.P. EL CARRIZAL,CH,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
41_1,MX_C_041,S.C.P.P. ARCHIPIELAGO,CH,CAMARON CAFE (Penaeus aztecus),CAMARON CAFE,Penaeus aztecus,Brown Shrimp,1809216
41_1,MX_C_041,S.C.P.P. ARCHIPIELAGO,CH,CAMARON BLANCO (Penaeus vannamei),CAMARON BLANCO,Penaeus vannamei,Pacific White Shrimp,1809212
41_1,MX_C_041,S.C.P.P. ARCHIPIELAGO,CH,CAMARON AZUL (Litopenaeus stylirostris),CAMARON AZUL,Litopenaeus stylirostris,Blue Shrimp,1809211
41_1,MX_C_041,S.C.P.P. ARCHIPIELAGO,CH,ESCAMA ESTUARINA,ESCAMA ESTUARINA,NA,NA,NA
4_1,MX_C_004,S.C.P.P. BUENAVISTA,CH,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
39_1,MX_C_039,S.C.P.P. GENERAL HERIBERTO JARA,CH,CAMARON CAFE (Penaeus aztecus),CAMARON CAFE,Penaeus aztecus,Brown Shrimp,1809216
55_1,MX_C_055,S.C.P.P. EL TULE,CH,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
37_1,MX_C_037,S.C.P.P. LA PALMA,CH,CAMARON CAFE (Penaeus aztecus),CAMARON CAFE,Penaeus aztecus,Brown Shrimp,1809216
37_1,MX_C_037,S.C.P.P. LA PALMA,CH,CAMARON BLANCO (Penaeus vannamei),CAMARON BLANCO,Penaeus vannamei,Pacific White Shrimp,1809212
37_1,MX_C_037,S.C.P.P. LA PALMA,CH,CAMARON AZUL (Litopenaeus stylirostris),CAMARON AZUL,Litopenaeus stylirostris,Blue Shrimp,1809211
37_1,MX_C_037,S.C.P.P. LA PALMA,CH,ESCAMA ESTUARINA,ESCAMA ESTUARINA,NA,NA,NA
36_1,MX_C_036,S.C.P.P. PUNTA DE ZANATE,CH,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
35_1,MX_C_035,S.C.P.P. BAHIA BOCA DEL CIELO,CH,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
34_1,MX_C_034,S.C.P.P. GENERAL GUADALUPE VICTORIA,CH,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
33_1,MX_C_033,S.C.P.P. SAN LUQUEÑO,CH,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
3_1,MX_C_003,S.C.P.P. BARRA DE ZACAPULCO,CH,CAMARON CAFE (Penaeus aztecus),CAMARON CAFE,Penaeus aztecus,Brown Shrimp,1809216
